;STATION;NAME;DATE;PRCP;SNOW;TAVG;TMAX;TMIN
66063;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-18;0.0;0.0;11.0;13.0;-9.0
66064;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-19;0.0;0.0;-7.0;2.0;-18.0
66065;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-20;0.0;0.0;-3.0;19.0;-13.0
66066;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-21;0.0;0.0;18.0;34.0;10.0
66067;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-22;0.0;0.0;22.0;36.0;13.0
66068;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-23;0.0;0.0;30.0;38.0;17.0
66069;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-24;0.0;0.0;22.0;31.0;8.0
66070;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-25;0.0;0.0;17.0;19.0;3.0
66071;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-26;0.0;0.1;10.0;16.0;2.0
66072;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-27;0.0;0.0;8.0;17.0;1.0
66073;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-28;0.0;0.0;16.0;25.0;4.0
66074;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-02-29;0.0;0.0;25.0;36.0;18.0
66075;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-01;0.0;0.0;31.0;39.0;20.0
66076;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-02;0.0;0.0;27.0;36.0;16.0
66077;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-03;0.0;0.0;32.0;36.0;15.0
66078;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-04;0.0;0.0;25.0;37.0;13.0
66079;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-05;0.03;0.0;33.0;37.0;17.0
66080;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-06;0.0;0.0;24.0;34.0;12.0
66081;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-07;0.0;0.0;35.0;42.0;32.0
66082;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-08;0.0;0.0;35.0;40.0;19.0
66083;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-09;0.0;0.0;17.0;19.0;9.0
66084;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-10;0.0;0.0;17.0;31.0;8.0
66085;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-03-11;0.0;0.0;31.0;39.0;25.0
